fold,date,y_true_class,y_true_price
3,2014-09-09,0,1251
3,2014-09-10,0,1241.25
3,2014-09-11,0,1231.5
3,2014-09-12,0,1232.25
3,2014-09-16,1,1236
3,2014-09-17,1,1220.5
3,2014-09-18,0,1219.75
3,2014-09-19,0,1213.5
3,2014-09-22,0,1217.25
3,2014-09-24,1,1213.75
3,2014-09-25,0,1213.75
3,2014-09-26,0,1219.5
3,2014-09-29,1,1216.5
3,2014-09-30,0,1217
3,2014-10-08,1,1226.75
3,2014-10-09,1,1234.75
3,2014-10-14,1,1237.75
3,2014-10-16,1,1234.25
3,2014-10-17,0,1244.5
3,2014-10-20,1,1250.25
3,2014-10-21,1,1243.75
3,2014-10-22,0,1228.75
3,2014-10-27,0,1229.25
3,2014-10-28,1,1223.5
3,2014-10-29,0,1202
3,2014-10-30,0,1164.25
3,2014-10-31,0,1142
3,2014-11-05,0,1154.5
3,2014-11-07,1,1162
3,2014-11-10,1,1156.5
3,2014-11-11,0,1164.5
3,2014-11-12,1,1161.75
3,2014-11-13,0,1169
3,2014-11-14,1,1182.5
3,2014-11-17,1,1192.75
3,2014-11-18,1,1196
3,2014-11-19,1,1190
3,2014-11-20,0,1203.75
3,2014-11-21,1,1199
3,2014-11-25,0,1197.5
3,2014-11-26,0,1182.75
3,2014-11-28,0,1194
3,2014-12-01,1,1204.75
3,2014-12-03,1,1209
3,2014-12-04,1,1194
3,2014-12-05,0,1193
3,2014-12-08,0,1227
3,2014-12-09,1,1229
3,2014-12-10,1,1216.25
3,2014-12-11,0,1217
3,2014-12-12,1,1209.25
3,2014-12-15,0,1202.5
3,2014-12-16,0,1195.75
3,2014-12-17,0,1199
3,2014-12-18,1,1195.5
3,2014-12-19,0,1195.25
3,2014-12-22,0,1177
3,2014-12-24,0,1185.5
3,2014-12-29,1,1206
3,2014-12-30,1,1200
3,2015-01-05,0,1210.25
3,2015-01-06,1,1210.5
3,2015-01-07,1,1215.5
3,2015-01-08,1,1217.75
3,2015-01-09,1,1231.5
3,2015-01-13,1,1235
3,2015-01-14,1,1259
3,2015-01-15,1,1277.5
3,2015-01-16,1,1288.75
3,2015-01-20,1,1293.5
3,2015-01-21,1,1295.75
3,2015-01-22,1,1294.75
3,2015-01-23,0,1288.5
3,2015-01-27,0,1288
3,2015-01-28,0,1268.75
3,2015-01-29,0,1260.25
3,2015-01-30,0,1272.5
3,2015-02-02,1,1264.25
3,2015-03-03,1,1199.5
3,2015-03-04,0,1202
3,2015-03-05,1,1168.5
3,2015-03-09,0,1162
3,2015-03-10,0,1150
3,2015-03-11,0,1152.25
3,2015-03-12,1,1152
3,2015-03-13,0,1150.75
3,2015-03-16,0,1150.75
3,2015-03-17,0,1147.25
3,2015-03-18,0,1166
3,2015-03-19,1,1183.0999999999999
3,2015-03-20,1,1186.25
3,2015-03-23,1,1191.5
3,2015-03-24,1,1195.5999999999999
3,2015-03-25,1,1203.1500000000001
3,2015-03-26,1,1195.75
3,2015-03-27,0,1185.5
3,2015-03-30,0,1187
3,2015-03-31,1,1211
3,2015-04-07,1,1207.25
3,2015-04-08,0,1194.8
3,2015-04-09,0,1207.3499999999999
3,2015-04-10,1,1198.9000000000001
3,2015-04-13,0,1192.9000000000001
3,2015-04-15,0,1204.3499999999999
3,2015-04-16,1,1203.3499999999999
3,2015-04-17,0,1196.5
3,2015-04-20,0,1195.3
3,2015-04-21,0,1189.25
3,2015-04-22,0,1185.75
3,2015-04-23,0,1183
3,2015-04-24,0,1200
3,2015-04-27,1,1209
3,2015-04-28,1,1180.25
3,2015-04-30,0,1187
3,2015-05-07,1,1186
3,2015-06-02,0,1190
3,2015-06-03,0,1176
3,2015-06-04,0,1164.5999999999999
3,2015-06-05,0,1172.8
3,2015-06-08,1,1177.4000000000001
3,2015-06-09,1,1188.5
3,2015-06-10,1,1178.5
3,2015-06-11,0,1182.8
3,2015-06-12,1,1181.4000000000001
3,2015-06-15,0,1177.75
3,2015-06-16,0,1178
3,2015-06-17,1,1201.8499999999999
3,2015-06-18,1,1203.4000000000001
3,2015-06-19,1,1178
3,2015-06-23,0,1173.75
3,2015-06-24,0,1172.6500000000001
3,2015-06-25,0,1170.5
3,2015-06-26,0,1176
3,2015-06-29,1,1171
3,2015-06-30,0,1168
3,2015-07-01,0,1165.25
3,2015-07-02,0,1166
3,2015-07-06,1,1156.25
3,2015-07-07,0,1158.5
3,2015-07-08,1,1164.25
3,2015-07-09,1,1159.3
3,2015-07-10,0,1154
3,2015-07-13,0,1157.4000000000001
3,2015-07-14,1,1147.4000000000001
3,2015-07-15,0,1144.4000000000001
3,2015-07-16,0,1132.8
3,2015-07-17,0,1105.5999999999999
3,2015-07-21,0,1088.5999999999999
3,2015-07-22,0,1097.4000000000001
3,2015-07-23,1,1080.8
3,2015-07-24,0,1100
3,2015-07-27,1,1096.2
3,2015-07-28,0,1090.25
3,2015-07-29,0,1087.5
3,2015-07-30,0,1098.4000000000001
3,2015-07-31,1,1091.9000000000001
3,2015-08-03,0,1090.6500000000001
3,2015-08-04,0,1085.0999999999999
3,2015-08-05,0,1089.75
3,2015-08-06,1,1093.5
3,2015-08-07,1,1097
3,2015-08-10,1,1108.25
3,2015-08-11,1,1119
3,2015-08-12,1,1116.75
3,2015-08-13,0,1118.25
3,2015-08-14,1,1118.8
3,2015-08-17,1,1126.1500000000001
3,2015-08-19,1,1147.7
3,2015-08-20,1,1156.5
3,2015-08-21,1,1166.5
3,2015-08-24,1,1137.5
3,2015-08-25,0,1120.75
3,2015-08-26,0,1119
3,2015-08-27,0,1135
3,2015-08-28,1,1142.3
3,2015-09-01,1,1137.75
3,2015-10-09,1,1165.2
3,2015-10-13,1,1173.9000000000001
3,2015-10-14,1,1184.25
3,2015-10-15,1,1180.8499999999999
3,2015-10-16,0,1175.4000000000001
3,2015-10-19,0,1177.75
3,2015-10-20,1,1167.0999999999999
3,2015-10-21,0,1161.25
3,2015-10-23,0,1166.4000000000001
3,2015-10-26,1,1165.7
3,2015-10-27,0,1179.5999999999999
3,2015-10-28,1,1148.5999999999999
3,2015-10-29,0,1142.3499999999999
3,2015-10-30,0,1134
3,2015-11-02,0,1114.7
3,2015-11-04,0,1106.3
3,2015-11-05,0,1088.9000000000001
3,2015-11-06,0,1089.5999999999999
3,2015-11-09,1,1087.0999999999999
3,2015-11-10,0,1081.5
3,2015-11-13,0,1084.75
3,2015-11-16,1,1079.2
3,2015-11-17,0,1067.75
3,2015-11-18,0,1082.5999999999999
3,2015-11-19,1,1081.75
3,2015-11-20,0,1076.4000000000001
3,2015-11-24,0,1061.9000000000001
3,2015-11-30,0,1065.4000000000001
3,2015-12-01,1,1055.4000000000001
3,2015-12-02,0,1055.45
3,2015-12-03,1,1079.25
3,2015-12-04,1,1075.8
3,2015-12-07,0,1072.0999999999999
